name,address,phone,principal,grades,division
Loch Lomond Elementary,"7900 Augusta Rd, Manassas, VA 20111",703-368-4128,Kimberly A Werle,PK-5,Prince William County Public Schools
Locust Grove Elementary,"6368 Flat Run Road, Locust Grove, VA 22508",540-661-4480,Mr. Jesse Magruder,3-5,Orange County Public Schools
Locust Grove Middle,"6368 Flat Run Road, Locust Grove, VA 22508",540-661-4480,Ms. Kim Crandall,6-8,Orange County Public Schools
Locust Grove Primary School,"31230 Constitution Highway, Locust Grove, VA 22508",540-661-4420,Sherri McGhee,KG-2,Orange County Public Schools
Lois Hornsby Middle,"850 Jolly Pond Road, Williamsburg, VA 23188",757-565-9400,Dr. Byron Bishop,6-8,Williamsburg-James City County Public Schools
London Towne Elementary,"6100 Stone Rd, Centreville, VA 20120-1699",703-227-5400,Ms. Sigrid Ryberg,PK-6,Fairfax County Public Schools
Long Branch Elementary,"33 N Fillmore St, Arlington, VA 22201",703-228-4220,Ms. Felicia A. Russo,PK-5,Arlington County Public Schools
Longdale Elementary,"9500 Norfolk St, Glen Allen, VA 23060",804-261-5095,Ms. Andrea L. Prisco,PK-5,Henrico County Public Schools
Longfellow Middle,"2000 Westmoreland St, Falls Church, VA 22043",703-533-2600,Ms. Carole Kihm,7-8,Fairfax County Public Schools
Longs Fork Elementary,"1280 Browning Hollow, Clintwood, VA 24228-9615",276-926-6339,Mr. Tony A. Robinson,5-8,Dickenson County Public Schools
Lord Botetourt High,"1435 Roanoke Rd, Daleville, VA 24083",540-992-1261,Ms. Janet Womack,9-12,Botetourt County Public Schools
Lorton Station Elementary,"9298 Lewis Chapel Rd., Lorton, VA 22079",571-642-6000,Ms. Joanne Jackson,PK-6,Fairfax County Public Schools
Loudoun Academy of Science,"21326 August Drive, Sterling, VA 20164",571-434-4470, ,,Loudoun County Public Schools
Loudoun County High,"415 Dry Mill Rd SW, Leesburg, VA 20175",571-252-2000,Mr. William Oblas,9-12,Loudoun County Public Schools
Loudoun Valley High,"340 N Maple Ave, Purcellville, VA 20132",540-751-2400,Ms. Susan Ross,9-12,Loudoun County Public Schools
Louisa County High,"757 Davis Hwy, Mineral, VA 23117",540-894-5436,Thomas Smith,9-12,Louisa County Public Schools
Louisa County Middle,"1009 Davis Hwy, Mineral, VA 23117",540-894-5115,Mr. Lee Downey,6-8,Louisa County Public Schools
Louise A. Benton Middle,"7411 Hoadly Rd, Manassas, VA 20112",703-791-0727,Mr. Kevin J Smith,6-8,Prince William County Public Schools
Lovettsville Elementary,"49 S Loudoun St, Lovettsville, VA 20180-8513",540-751-2470,Mrs. Kimberly A. Forcino,PK-5,Loudoun County Public Schools
Lowes Island Elementary,"20755 Whitewater Dr, Sterling, VA 20165",571-434-4450,Mr. Bruce W. Shafferman,PK-5,Loudoun County Public Schools
Lucille M. Brown Middle,"6300 Jahnke Rd, Richmond, VA 23225",804-319-3013,Ms. Denise Lewis,6-8,Richmond Public Schools
Lucketts Elementary,"14550 James Monroe Hwy, Leesburg, VA 20176",571-252-2070,Brenda Blue,PK-5,Loudoun County Public Schools
Lunenburg Middle,"583 Tomlinson Road, Victoria, VA 23974-9515",434-696-2161,Kathleen Rainey,6-8,Lunenburg County Public Schools
Luray Elementary,"555 First St, Luray, VA 22835",540-743-4078,Dr. Joanne Marie Pereira,KG-5,Page County Public Schools
Luray High,"243 Bulldog Drive, Luray, VA 22835",540-743-3800,Mr. Clint Runyan,9-12,Page County Public Schools
Luray Middle,"14 Luray Avenue, Luray, VA 22835",540-843-2660,Ms. Kelly Lawton,6-8,Page County Public Schools
Luther P. Jackson Middle,"4255 New Design Rd, Dendron, VA 23839-2212",757-267-2810,Dr. Charlome R. Pierce,5-8,Surry County Public Schools
Luther W. Machen Elementary,"20 Sacramento Dr, Hampton, VA 23666",757-727-2900,Ms. Chevese R. Thomas,PK-5,Hampton Public Schools
Luxford Elementary,"4808 Haygood Rd, Virginia Beach, VA 23455",757-473-5014,Ms. Joanne T. D'Agostino,PK-5,Virginia Beach Public Schools
Lylburn Downing Middle,"302 Diamond St, Lexington, VA 24450",540-463-3532,Mr. Richard N. Dowd,6-8,Lexington Public Schools
Lyles-Crouch Elementary,"530 S St Asaph St, Alexandria, VA 22314",703-706-4430,Dr. Patricia Zissios,KG-5,Alexandria Public Schools
Lynbrook Elementary,"5801 Backlick Rd, Springfield, VA 22150",703-866-2940,Ms. Mary McNamee,PK-6,Fairfax County Public Schools
Lynnhaven Elementary,"210 Dillon Dr, Virginia Beach, VA 23452-6702",757-648-3000,Ms. Katherine R. Everett,PK-5,Virginia Beach Public Schools
Lynnhaven Middle,"1250 Bayne Dr, Virginia Beach, VA 23454",757-648-4850,Dr. Violet B. Hoyle,6-8,Virginia Beach Public Schools
Mack Benn Jr. Elementary,"1253 Nansemond Pkwy, Suffolk, VA 23434",757-934-6224,Mr. David LeFevre,PK-5,Suffolk Public Schools
Macy Mcclaugherty Elementary/Middle,"1001 Henson Ave, Pearisburg, VA 24134",540-921-1363,Mr. Jared A. Rader,PK-7,Giles County Public Schools
Madison Alternative Center,"3700 Bowdens Ferry Rd, Norfolk, VA 23508-2422",757-628-3417, ,,Norfolk Public Schools
Madison County High,"68 Mountaineer Lane, Madison, VA 22727",540-948-3785,Dr. Robert Chappell,9-12,Madison County Public Schools
Madison Elementary,"9075 Chance Place, Ruther Glen, VA 22546",804-448-2171,Scott Belako,PK-5,Caroline County Public Schools
Madison Heights Elementary,"287 Learning Lane, Madison Heights, VA 24572",434-846-2151,Mrs. Charlotte Gilbar,PK-5,Amherst County Public Schools
Madison High,"2500 James Madison Dr, Vienna, VA 22181",703-319-2300,Mr. Mark Merrell,9-12,Fairfax County Public Schools
Madison Primary,"158 Primary School Drive, Madison, VA 22727",540-948-3781,Mr. Michael Allers,PK-2,Madison County Public Schools
Magna Vista High,"701 Magna Vista School Rd, Ridgeway, VA 24148",276-956-3147,Mrs. Gracie R. Agnew,9-12,Henry County Public Schools
Magruder Elementary,"1712 Chestnut Ave, Newport News, VA 23607",757-928-6838,Ms. Christine Pilger,PK-2,Newport News Public Schools
Magruder Elementary,"700 Penniman Rd, Williamsburg, VA 23185",757-220-4067,Jane Core Yatzeck,KG-5,York County Public Schools
Malibu Elementary,"3632 Edinburgh Dr, Virginia Beach, VA 23452-3655",757-431-4098,Mr. Michael A. Maloney,PK-5,Virginia Beach Public Schools
Manassas Park Elementary,"9298 Cougar Court, Manassas Park, VA 20111-1899",703-368-2032,Mrs. Stacey Mamon,3-5,Manassas Park Public Schools
Manassas Park High,"8200 Euclid Ave, Manassas Park, VA 20111-2394",703-361-9131,Eric Doyle,9-12,Manassas Park Public Schools
Manassas Park Middle,"8202 Euclid Ave, Manassas Park, VA 20111-2394",703-361-1510,Pam Kalso,6-8,Manassas Park Public Schools
Manchester High,"12601 Bailey Bridge Rd., Midlothian, VA 23112-1805",804-739-6275,Mr. Peter M. Koste,9-12,Chesterfield County Public Schools
Manchester Middle,"7401 Hull Street Rd., Richmond, VA 23235-5807",804-674-1385,Sarah Fraher,6-8,Chesterfield County Public Schools
Mantua Elementary,"9107 Horner Court, Fairfax, VA 22031",703-645-6300,Mrs. Jan-Marie Fernandez,PK-6,Fairfax County Public Schools
Margaret Beeks Elementary,"709 Airport Rd, Blacksburg, VA 24060",540-951-5700,Mr. Micah Mefford,PK-5,Montgomery County Public Schools
Margaret Brent Elementary,"2125 Mountain View Rd, Stafford, VA 22556",540-658-6790,Ms. Dorothy D. Truslow,PK-5,Stafford County Public Schools
Margaret M. Pierce Elementary,"12074 James Madison St, Remington, VA 22734",540-422-7630,Dr. Christine Wolfe,PK-5,Fauquier County Public Schools
Marguerite F. Christian Elementary,"14801 Woods Edge Rd., Colonial Heights, VA 23834-6031",804-530-5733,Jennifer Lenz,PK-5,Chesterfield County Public Schools
Marion Elementary School,"188 Star Mountain Dr, Marion, VA 24354",276-783-3021,Ms. Kimberly G. Williams,PK-5,Smyth County Public Schools
Marion Middle,"134 Wilden St, Marion, VA 24354",276-783-4466,Mr. Brandon D. Ratliff,6-8,Smyth County Public Schools
Marion Senior High,"848 Stage St, Marion, VA 24354",276-783-4731,Mr. Mike Davidson,9-12,Smyth County Public Schools
Marshall High,"7731 Leesburg Pike, Falls Church, VA 22043",703-714-5400,Mr. Jay Pearson,9-12,Fairfax County Public Schools
Marshall High School Academy,"7731 Leesburg Pike, Falls Church, VA 22043",703-714-5400, ,,Fairfax County Public Schools
Marshall Middle,"4048 Zulla Road, Marshall, VA 20115",540-364-1551,Ms. Christine A. Moschetti,6-8,Fauquier County Public Schools
Marshall Road Elementary,"730 Marshall Rd SW, Vienna, VA 22180",703-937-1500,Ms. Jennifer Heiges,PK-6,Fairfax County Public Schools
Martin Luther King Jr. Elementary,"13224 Nickleson Dr, Woodbridge, VA 22193",703-590-1616,Ms. Amy Larsen,PK-5,Prince William County Public Schools
Martin Luther King Jr. Middle,"1000 Mosby St, Richmond, VA 23223-5099",804-780-8011,Dr. Valerie Harris,6-8,Richmond Public Schools
Martinsville High School,"351 Commonwealth Blvd, Martinsville, VA 24112",276-403-5870,Mrs. Angela Weinerth,9-12,Martinsville Public Schools
Martinsville Middle School,"201 Brown St, Martinsville, VA 24112",276-403-5886,Ms. Cynthia Tarpley,6-8,Martinsville Public Schools
Marumsco Hills Elementary,"14100 Page St, Woodbridge, VA 22191",703-494-3252,M. Joanne Alvey,PK-5,Prince William County Public Schools
Mary Calcott Elementary,"137 Westmont Avenue, Norfolk, VA 23503",757-531-3039,Mrs. Danielle McIntyre,PK-5,Norfolk Public Schools
Mary Carr Greer Elementary,"190 Lambs Lane, Charlottesville, VA 22901-8979",434-973-8371,Robyn Bolling,PK-5,Albemarle County Public Schools
Mary Ellen Henderson Middle,"7130 Leesburg Pike, Falls Church, VA 22043",703-720-5700,Ms. Seidah Ashshaheed,6-8,Falls Church Public Schools
Mary G. Porter Traditional,"15311 Forest Grove Drive, Woodbridge, VA 22191",703-580-6501,Darci Whitehead,1-8,Prince William County Public Schools
Mary Munford Elementary,"211 Westmoreland Street, Richmond, VA 23226-1399",804-780-6267,Mr. Gregory P. Muzik,PK-5,Richmond Public Schools
Mary Passage Middle,"400 Atkinson Way, Newport News, VA 23608",757-886-7600,Ms. Janelle Spitz,6-8,Newport News Public Schools
Mary Walter Elementary,"4529 Morrisville Road, Bealeton, VA 22712",540-439-3279,Mr. Alexander O'Dell,PK-5,Fauquier County Public Schools
Mary Williams Elementary,"3100 Panther Pride Drive, Dumfries, VA 22026",703-445-8376,Ms. Marlene Coleman,PK-5,Prince William County Public Schools
Mason Crest Elementary,"3705 Crest Dr, Annandale, VA 22003",571-226-2600,Mr. Brian K. Butler,PK-5,Fairfax County Public Schools
Mason's Cove Elementary,"3370 Bradshaw Rd, Salem, VA 24153",540-387-6530,Ms. Phyllis Satterfield,PK-5,Roanoke County Public Schools
Massaponax High,"8201 Jefferson Davis Hwy, Fredericksburg, VA 22407",540-710-0419,Dr. Joseph A. Pisani,9-12,Spotsylvania County Public Schools
Mathews High,"Rt 198, 9889 Buckley Hall Road, Mathews, VA 23109",804-725-3702,Mr. Albert C. Green Jr.,9-12,Mathews County Public Schools
Matoaca Elementary,"6627 River Rd, Petersburg, VA 23803-0057",804-590-3100,Mary Thrift,PK-5,Chesterfield County Public Schools
Matoaca High,"17700 Longhouse Lane, Chesterfield, VA 23838",804-590-3108,Mr. Stephen Cunningham,9-12,Chesterfield County Public Schools
Matoaca Middle,"20300 Halloway Ave., Matoaca, VA 23803-6410",804-590-3130,Wayne Carter,6-8,Chesterfield County Public Schools
Matoaka Elementary,"4001 Brick Bat Road, Williamsburg, VA 23188",757-564-4001,Mr. Andrew H Jacobs,KG-5,Williamsburg-James City County Public Schools
Matthew Fontaine Maury High,"322 Shirley Ave, Norfolk, VA 23517",757-628-3344,Ms. Karen Berg,9-12,Norfolk Public Schools
Matthew Whaley Elementary,"301 Scotland St, Williamsburg, VA 23185",757-229-1931,Robin Ford,KG-5,Williamsburg-James City County Public Schools
Maude Trevvett Elementary,"2300 Trevvett Dr, Richmond, VA 23228",804-261-5060,Ms. Amanda R. Mulholland,PK-5,Henrico County Public Schools
Maury Elementary,"600 Russell Rd, Alexandria, VA 22301",703-706-4440,Ms. Lucretia Jackson,KG-5,Alexandria Public Schools
Maury River Middle School,"600 Waddell St, Lexington, VA 24450",540-463-3129, ,6-8,Rockbridge County Public Schools
Max Meadows Elementary,"213 School St, Max Meadows, VA 24360",276-637-3211,Mrs. Kimley Frye,PK-5,Wythe County Public Schools
Maybeury Elementary,"901 Maybeury Dr, Richmond, VA 23229",804-750-2650,Mr. Bradley V. Fernald,PK-5,Henrico County Public Schools
Mayfield Intermediate,"9400 Mayfield Court, Manassas, VA 20110",571-377-6600,Mr. Kenny Kratzer,5-6,Manassas Public Schools
Maymont Pre-K Center,"1211 S. Allen Ave., Richmond, VA 23220-6799",804-780-6263, ,PK,Richmond Public Schools
McCleary Elementary,"25345 Craigs Creek Road, Hwy 615, New Castle, VA 24127",540-864-5173,Gennifer L. Miller,PK-5,Craig County Public Schools
McGaheysville Elementary,"9508 Spotswood Trail, McGaheysville, VA 22840",540-289-3004,Mrs. Pam Dowrey,PK-5,Rockingham County Public Schools
McHarg Elementary,"700 Twelfth St, Radford, VA 24141",540-731-3652,Mrs. Ellen Denny,PK-2,Radford Public Schools
McKinley Elementary,"1030 N McKinley Rd, Arlington, VA 22205",703-228-5280,Mr. Colin Brown,PK-5,Arlington County Public Schools
McLean High,"1633 Davidson Rd, McLean, VA 22101",703-714-5700,Ms. Ellen Reilly,9-12,Fairfax County Public Schools
McNair Elementary,"2499 Thomas Jefferson Dr., Herndon, VA 20171",703-793-4800,Ms. Maria V. Eck,PK-6,Fairfax County Public Schools
Meadowbrook High,"4901 Cogbill Rd., Richmond, VA 23234-5307",804-743-3675,Andrew Mey,9-12,Chesterfield County Public Schools
Meadowland Elementary,"729 S Sugarland Run Dr, Sterling, VA 20164",571-434-4440,Ms. Laura Seck,PK-5,Loudoun County Public Schools
Meadows of Dan Elementary,"3003 Jeb Stuart Hwy, Meadows of Dan, VA 24120",276-952-2424,Mrs. Jeannie King,PK-7,Patrick County Public Schools
Meadowview Elementary,"14050 Glenbrook Ave, Meadowview, VA 24361",276-739-3900,Dr. Beth Litz,PK-5,Washington County Public Schools
Meadville Elementary,"1011 Meadville School Loop, Nathalie, VA 24577",434-349-1012,Mrs. Marliss H. Barczak,KG-5,Halifax County Public Schools
Mechanicsville Elementary,"7425 Mechanicsville Elem Drive, Mechanicsville, VA 23111",804-723-3640,Dr. Amy Woodward,PK-5,Hanover County Public Schools
Meherrin Elementary,"28600 Grays Shop Rd., Newsoms, VA 23874",757-654-6461,Mrs. Syretha Wright,PK-5,Southampton County Public Schools
Meherrin Powellton Elementary,"11555 Dry Bread Road, Lawrenceville, VA 23868",434-577-5000,Mrs. Sandra L. King,PK-5,Brunswick County Public Schools
Menchville High,"275 Menchville Rd, Newport News, VA 23602",757-886-7722,Mr. Robert Surry,9-12,Newport News Public Schools
Mercer Middle,"42149 Greenstone Dr., Aldie, VA 20105",703-957-4340,Robert Phillips,6-8,Loudoun County Public Schools
Meriwether Lewis Elementary,"1610 Owensville Road, Charlottesville, VA 22901-9407",434-293-9304,Ms. Karen Marcus,PK-5,Albemarle County Public Schools
Metompkin Elementary,"24501 Parksley Rd, Parksley, VA 23421",757-665-1299, ,PK-5,Accomack County Public Schools
Middleburg Elementary,"101 N Madison St, Middleburg, VA 20117",540-751-2490,Shawn Lyons,PK-5,Loudoun County Public Schools
Middlesex Elementary,"823 Philpot Rd., Locust Hill, VA 23092",804-758-2496,Mrs. Amy Stamm,PK-5,Middlesex County Public Schools
Middlesex High,"454 General Puller Highway, Saluda, VA 23149",804-758-2132,Mrs. Jeannie Duke,9-12,Middlesex County Public Schools
Middletown Elementary,"190 Mustang Ln, Middletown, VA 22645",540-869-4615,Dr. Amy Larrick,KG-5,Frederick County Public Schools
Midlothian High,"401 Charter Colony Pkwy., Midlothian, VA 23114-4366",804-378-2440,Shawn Abel,9-12,Chesterfield County Public Schools
Midlothian Middle,"13501 Midlothian Turnpike, Midlothian, VA 23113-4215",804-378-2460,Dr. Patrick Stanfield,6-8,Chesterfield County Public Schools
Midway Elementary School,"5511 Midway Rd, Church Road, VA 23833",804-265-4205,Mrs. Kathleen C. Burgess,KG-5,Dinwiddie County Public Schools
Miles Jones Elementary,"200 Beaufont Hill Drive, Richmond, VA 23225",804-319-3185,Mrs. Sonya Shaw,PK-5,Richmond Public Schools
Mill Run Elementary,"42940 Ridgeway Drive, Ashburn, VA 20148",571-252-2160,Mr. Paul L. Vickers,PK-5,Loudoun County Public Schools
Millboro Elementary,"411 Church Street, Millboro, VA 24460",540-997-5452,Mrs. Allison Hicklin,KG-7,Bath County Public Schools
Millbrook High,"251 First Woods Dr., Winchester, VA 22603",540-545-2800,Mrs. Carolyn S. Butler,9-12,Frederick County Public Schools
Mills E. Godwin High,"2101 Pump Rd, Richmond, VA 23238",804-750-2600,Ms. Elizabeth K. Ambruster,9-12,Henrico County Public Schools
Mills E. Godwin Middle,"14800 Darbydale Av, Woodbridge, VA 22193",703-670-6166,Ms. Jehovanni Mitchell,6-8,Prince William County Public Schools
Minnieville Elementary,"13639 Greenwood Dr, Woodbridge, VA 22193",703-670-6106,Mr. Nathaniel Provencio,PK-5,Prince William County Public Schools
Monacan High,"11501 Smoketree Dr., Richmond, VA 23236-2534",804-378-2480,William Broyles,9-12,Chesterfield County Public Schools
Monelison Middle,"257 Trojan Rd, Madison Heights, VA 24572",434-846-1307,William Wells,6-8,Amherst County Public Schools
Moneta Elementary,"12718 Moneta Rd, Moneta, VA 24121",540-297-4411,Mrs. Melanie K. Simmons,PK-5,Bedford County Public Schools
Monroe Technology Center,"715 Childrens Ctr Rd SW, Leesburg, VA 20175",571-252-2080,Mr. Wagner B. Grier,,Loudoun County Public Schools
Montclair Elementary,"4920 Tallowwood Dr, Dumfries, VA 22025",703-730-1072,Tawnya Soltis,PK-5,Prince William County Public Schools
Monterey Elementary,"4501 Oliver Rd NE, Roanoke, VA 24012",540-853-2933,Ms. Morgan Johnson,PK-5,Roanoke Public Schools
Montevideo Middle,"7648 McGaheysville Rd, Penn Laird, VA 22846",540-289-3401,Mr. Drew S. Miller,6-8,Rockingham County Public Schools
Monticello High,"1400 Independence Way, Charlottesville, VA 22902-8745",434-244-3100,Jesse Turner,9-12,Albemarle County Public Schools
Montrose Elementary,"2820 Williamsburg Rd, Richmond, VA 23231",804-226-8765,Mr. Ted Durniak,PK-5,Henrico County Public Schools
Montross Middle,"8884 Menokin Road, Montross, VA 22520",804-493-9818,Mrs. Jane S Geyer,6-8,Westmoreland County Public Schools
Montvale Elementary,"One Little Patriot Dr, Montvale, VA 24122",540-947-2241,Mrs. Krista Moore,PK-6,Bedford County Public Schools
Moorefield Station Elementary School,"22325 Mooreview Parkway, Ashburn, VA 20148",571-252-2380,Karen Roche,PK-5,Loudoun County Public Schools
Morningside Elementary,"1716 Wilson Avenue, SE, Roanoke, VA 24013",540-853-2991,Ms. Ann Kreft,PK-5,Roanoke Public Schools
Mortimer Y. Sutherland Middle,"2801 Powell Creek Drive, Charlottesville, VA 22911-7402",434-975-0599,Mr. Dave Rogers,6-8,Albemarle County Public Schools
Mosby Woods Elementary,"9819 Five Oaks Rd, Fairfax, VA 22031",703-937-1600,Ms. Mahri Aste,PK-6,Fairfax County Public Schools
Moss-Nuckols Elementary,"2055 Courthouse Road, Louisa, VA 23093",540-967-1347,Ms. Johnette Burdette,PK-5,Louisa County Public Schools
Moton Early Childhood Center,"339 Old Buckroe Rd, Hampton, VA 23663",757-727-1061,Ms. Joanne A. Drew,PK,Hampton Public Schools
Mount Airy Elementary,"100 Mt Airy Elementary Cir, Gretna, VA 24557",434-335-5291,Ms. Joyce A. Wright,PK-5,Pittsylvania County Public Schools
Mount Daniel School,"2328 N Oak St, Falls Church, VA 22046",703-248-5640,Mrs. Kathleen Halayko,PK-1,Falls Church Public Schools
Mount Eagle Elementary,"6116 N Kings Hwy, Alexandria, VA 22303",703-721-2100,Ms. Jean T Consolla,PK-6,Fairfax County Public Schools
Mount Hermon Preschool Center,"3000 North St., Portsmouth, VA 23707-1939",757-393-8825,Dr. Sandra H. Smith,PK,Portsmouth Public Schools
Mount Olivet Elementary,"255 Lancer Lane, Martinsville, VA 24112",276-638-1022,Mrs. Elizabeth Minter,PK-5,Henry County Public Schools
Mount Pleasant Elementary,"3216 Mt Pleasant Blvd, Roanoke, VA 24014",540-427-1879,Ms. Ellen Walton,PK-5,Roanoke County Public Schools
Mount Vernon Elementary,"2601 Commonwealth Ave, Alexandria, VA 22305",703-706-4460,Peter Balas,PK-5,Alexandria Public Schools
Mount Vernon Elementary,"310 Mt Vernon Dr, Yorktown, VA 23693",757-898-0480,Ms. Mary Lugo,PK-5,York County Public Schools
Mount Vernon High,"8515 Old Mount Vernon Rd, Alexandria, VA 22309",703-619-3100,Ms. Nardos E. King,9-12,Fairfax County Public Schools
Mount Vernon Woods Elementary,"4015 Fielding St, Alexandria, VA 22309",703-619-2800,Ms. Pamela Simpkins,PK-6,Fairfax County Public Schools
Mountain View Alternative High,"5775 Spindle Ct, Centreville, VA 20121-2497",703-227-2316,Mr. David E. Jagels,9-12,Fairfax County Public Schools
Mountain View Elementary,"100 Gleason Dr., Covington, VA 24426",540-863-1737,Mrs. Teresa B. Johnson,KG-5,Alleghany County Public Schools
Mountain View Elementary,"36803 Allder School Rd., Purcellville, VA 21032",540-751-2550,Mr. Douglas R. Martin,PK-5,Loudoun County Public Schools
Mountain View Elementary,"5600 McLeod Way, Haymarket, VA 20169",703-754-4161,Ms. Michelle Schrecker,PK-5,Prince William County Public Schools
Mountain View Elementary,"5901 Plantation Circle, Roanoke, VA 24019",540-561-8175,Ms. Leigh Porter,PK-5,Roanoke County Public Schools
Mountain View Elementary,"2800 Rawley Pike, Harrisonburg, VA 22801",540-438-1965,Mrs. Deborah Rhodes,PK-5,Rockingham County Public Schools
Mountain View Elementary School,"20 Burger Circle, Buena Vista, VA 24416",540-261-2418,Ms. Lori S. Teague,PK-5,Rockbridge County Public Schools
Mountain View High,"2135 Mountain View Road, Stafford, VA 22556",540-658-6840,Dr. James D. Stemple Jr.,9-12,Stafford County Public Schools
Murray High,"1200 Forest Street, Charlottesville, VA 22903-5262",434-296-3090,Ms. E. Ashby Kindler,9-12,Albemarle County Public Schools
N.B. Clements Junior High,"7800 Laurel Spring Rd., Prince George, VA 23875",804-733-2730,Mr. Peter Fisher,8-9,Prince George County Public Schools
Nandua High,"26350 Lankford Highway, Onley, VA 23418",757-787-4514,Mr. Brian Patterson,9-12,Accomack County Public Schools
Nandua Middle,"20330 Warrior Dr., Onley, VA 23418",757-787-7037,Mr. John Killmon,6-8,Accomack County Public Schools
Nansemond Parkway Elementary,"3012 Nansemond Pkwy, Suffolk, VA 23434",757-923-4167,Mrs. Chanel S. Bryant,PK-5,Suffolk Public Schools
Nansemond River High,"3301 Nansemond Pkwy, Suffolk, VA 23435",757-923-4101,Mr. Thomas W. McLemore,9-12,Suffolk Public Schools
Narrows Elementary/Middle,"401 Wolf St, Narrows, VA 24124",540-726-2391,Mr. Richard R. Franklin,KG-7,Giles County Public Schools
Narrows High,"1 Green Wave Lane, Narrows, VA 24124",540-726-2384,Dr. Jill L Hopkins,8-12,Giles County Public Schools
Nathanael Greene Elementary,"8094 Spotswood Trail, Stanardsville, VA 22973",434-985-5275,Anne Marie Eberhardt,3-5,Greene County Public Schools
Natural Bridge Elementary School,"42 Natural Bridge School Rd., Natural Bridge Station, VA 24479",540-291-2292,Ms. Melanie E Falls,PK-5,Rockbridge County Public Schools
Navy Elementary,"3500 W Ox Rd, Fairfax, VA 22033",703-262-7100,Mr. Jonathan M. Coch,PK-6,Fairfax County Public Schools
Neabsco Elementary,"3800 Cordell Ave, Woodbridge, VA 22193",703-670-2147,Laura Pumphrey,PK-5,Prince William County Public Schools
Nelson County High,"6919 Thomas Nelson Hwy, Lovingston, VA 22949",434-263-8317,Mr. Todd Weidow,9-12,Nelson County Public Schools
Nelson Middle,"6925 Thomas Nelson Highway, Lovingston, VA 22949",434-263-4801,Mr. Matthew Schoener,6-8,Nelson County Public Schools
New Bridge Learning Center,"5915 Nine Mile Road, Henrico, VA 23223",804-652-3717, ,,Henrico County Public Schools
New Castle Elementary,"4136 Dam Neck Road, Virginia Beach, VA 23456",757-648-3080,Dr. Lesley Hughes,PK-5,Virginia Beach Public Schools
New Directions Alternative Education Center,"8886 Rixlew Ln., Manassas, VA 20109",703-393-7261,Mr. Robert L. Eichorn,,Prince William County Public Schools
New Directions Alternative H.S. Program,"2847 Wilson Boulevard, Arlington, VA 22201",703-228-2117,Mr. Chip Bonar,,Arlington County Public Schools
New Directions Center,"401 West Road, Portsmouth, VA 23707-1227",757-393-8728, ,,Portsmouth Public Schools
New Kent Elementary,"11705 New Kent Hwy, New Kent, VA 23124",804-966-9663,Mr. John Moncrief,PK-5,New Kent County Public Schools
New Kent High,"7365 Egypt Rd, New Kent, VA 23124",804-966-9671,Mrs. Yvonne M. Jones,9-12,New Kent County Public Schools
New Kent Middle,"7501 Egypt Road, New Kent, VA 23124",804-966-9655,Mr. Sammy L. Fudge,6-8,New Kent County Public Schools
New London Academy Elementary,"12400 E Lynchburg-Salem Trnpk, Forest, VA 24551",434-525-2177,Tammy M. Parlier,PK-5,Bedford County Public Schools
New Start - Basic Alternative Center,"2206 Mountain Rd, Glen Allen, VA 23060",804-553-8236, ,,Henrico County Public Schools
Newington Forest Elementary,"8001 Newington Forest Ave, Springfield, VA 22153",703-923-2600,Mr. John F Kren Jr.,PK-6,Fairfax County Public Schools
Newsome Park Elementary,"4200 Marshall Ave, Newport News, VA 23607",757-928-6810,Mr. Victor Martinez,PK-5,Newport News Public Schools
Newton-Lee Elementary,"43335 Gloucester Parkway, Ashburg, VA 20147",571-252-1535,Ms. Carol A. Winters,PK-5,Loudoun County Public Schools
Newtown Elementary,"5277 Learning Circle, Virginia Beach, VA 23462",757-648-3120,Mrs. Lavern Chatman,2-3,Virginia Beach Public Schools
Ni River Middle,"11632 Catharpin Rd, Spotsylvania, VA 22553",540-785-3990,Veronne N. Davis,6-8,Spotsylvania County Public Schools
Nickelsville Elementary,"11415 Nickesville Hwy, Highway 71, Nickelsville, VA 24271",276-479-2676,Mr. Michael V. Lane,KG-7,Scott County Public Schools
Noel C. Taylor Academy At Oakland,"3229 Williamson Road NW, Roanoke, VA 24012",540-853-1461,Elizabeth Williams,,Roanoke Public Schools
Nokesville Elementary,"12625 Fitzwater Dr, Nokesville, VA 20181",703-594-2155,Mr. Eric Worcester,PK-6,Prince William County Public Schools
Norfolk Alternative High,"3700 Bowden Ferry Rd, Norfolk, VA 23505",757-628-3417, ,,Norfolk Public Schools
Norfolk Alternative Middle,"3700 Bowden Ferry Rd, Norfolk, VA 23508",757-628-3417, ,,Norfolk Public Schools
Norfolk Highlands Primary,"1115 Myrtle Ave, Chesapeake, VA 23325",757-578-7092,Mrs. Shawnia C. Smiley,PK-3,Chesapeake Public Schools
Norfolk Technical Center,"1330 N Military Hwy, Norfolk, VA 23502",757-892-3300,Mr. Kevin Monroe,,Norfolk Public Schools
Norge Elementary,"7311 Richmond Rd, Williamsburg, VA 23188",757-564-3372,Dr. Nancy Catano,KG-5,Williamsburg-James City County Public Schools
North Elementary,"3201 Dale Ave, Colonial Heights, VA 23834-3798",804-524-3430, ,KG-5,Colonial Heights Public Schools
North Elementary,"11100 Old Stage Rd, Prince George, VA 23875",804-458-8922, ,PK-5,Prince George County Public Schools
North Fork Middle,"1018 Caverns Road, Quicksburg, VA 22847-1419",540-477-2953,Shelby Kline,6-8,Shenandoah County Public Schools
